Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
24875,2007,4.57,0.9140000000000001,150,812,3,450,371.08400000000006,821.0840000000001
5197,2002,5.75,1.1500000000000001,150,723,3,450,415.725,865.725
1346,1994,22.55,4.510000000000001,150,364,6,900,820.8200000000002,1720.8200000000002
5739,1990,1.53,0.30600000000000005,150,1397,2,300,213.74100000000004,513.741
5101,1984,10.39,2.0780000000000003,150,535,4,600,555.8650000000001,1155.8650000000002
1867,1982,2.15,0.43,150,1176,2,300,252.84,552.84
4265,1982,8.26,1.6520000000000001,150,600,4,600,495.6,1095.6
6879,1972,0.74,0.148,150,1999,1,150,147.926,297.926
3630,1969,19.83,3.9659999999999997,150,386,6,900,765.438,1665.438
126,1968,20.14,4.0280000000000005,150,383,6,900,771.3620000000001,1671.362
3562,1966,0.77,0.15400000000000003,150,1957,2,300,150.68900000000002,450.689
2672,1960,1.8,0.36000000000000004,150,1278,2,300,230.04000000000002,530.04
8513,1947,6.56,1.312,150,667,3,450,437.552,887.552
14701,1947,4.57,0.9140000000000001,150,799,3,450,365.1430000000001,815.143
6542,1945,3.71,0.742,150,887,3,450,329.077,779.077
5447,1941,7.63,1.526,150,618,4,600,471.534,1071.534
3040,1940,16.54,3.308,150,419,5,750,693.026,1443.0259999999998
2418,1932,16.53,3.3060000000000005,150,419,5,750,692.6070000000001,1442.607
3568,1927,0.79,0.15800000000000003,150,1913,2,300,151.12700000000004,451.12700000000007
8155,1925,3.28,0.656,150,938,3,450,307.664,757.664
28147,1921,7.14,1.428,150,635,4,600,453.39,1053.3899999999999
8670,1914,7.85,1.57,150,605,4,600,474.925,1074.925
38899,1914,7.28,1.4560000000000002,150,628,4,600,457.1840000000001,1057.1840000000002
24379,1909,8.78,1.756,150,571,4,600,501.338,1101.338
3727,1899,1.47,0.294,150,1392,2,300,204.624,504.624
7345,1898,6.75,1.35,150,649,3,450,438.07500000000005,888.075
3452,1897,5.55,1.11,150,716,3,450,397.38000000000005,847.3800000000001
6264,1886,4.79,0.9580000000000001,150,769,3,450,368.35100000000006,818.3510000000001
6432,1864,0.64,0.128,150,2090,1,150,133.76,283.76
3745,1859,3.07,0.614,150,953,2,300,292.57099999999997,592.5709999999999
27854,1857,10.2,2.04,150,523,4,600,533.46,1133.46
3768,1854,3.62,0.7240000000000001,150,876,3,450,317.112,767.1120000000001
15094,1853,9.08,1.816,150,553,4,600,502.124,1102.124
10727,1850,5.41,1.082,150,716,3,450,387.35600000000005,837.356
42881,1841,3.92,0.784,150,839,3,450,328.88800000000003,778.888
