Brand,EndingStock,AvgPrice,InventoryValue,TotalSold,StockToSales,MovementClass
263,10,17.99,179.89999999999998,0.0,inf,Dead Stock
269,126,3.9899999999999998,502.73999999999995,238.0,0.5294117647058824,Normal
271,279,35.99,10041.210000000001,0.0,inf,Dead Stock
272,106,7.489999999999999,793.9399999999999,135.0,0.7851851851851852,Normal
273,4052,21.99,89103.48,612.0,6.620915032679738,Slow Moving
274,5,25.99,129.95,11.0,0.45454545454545453,Fast Moving
275,134,19.99,2678.66,0.0,inf,Dead Stock
276,19,36.99,702.8100000000001,10.0,1.9,Normal
277,30,14.49,434.7,0.0,inf,Dead Stock
278,15,28.99,434.84999999999997,4.0,3.75,Slow Moving
281,67,9.99,669.33,45.0,1.488888888888889,Normal
283,147,57.989999999999995,8524.529999999999,26.0,5.653846153846154,Slow Moving
284,201,77.99,15675.99,30.0,6.7,Slow Moving
285,6,16.99,101.94,0.0,inf,Dead Stock
286,114,34.99,3988.86,0.0,inf,Dead Stock
287,124,34.99,4338.76,0.0,inf,Dead Stock
288,314,29.99,9416.859999999999,0.0,inf,Dead Stock
290,380,74.99,28496.199999999997,13.0,29.23076923076923,Slow Moving
294,171,8.49,1451.79,402.0,0.4253731343283582,Fast Moving
298,29,8.49,246.21,11.0,2.6363636363636362,Slow Moving
300,1,18.99,18.99,0.0,inf,Dead Stock
304,12,33.99,407.88,4.0,3.0,Slow Moving
305,827,27.99,23147.73,746.0,1.1085790884718498,Normal
308,10,26.99,269.9,15.0,0.6666666666666666,Normal
309,1,45.99,45.99,0.0,inf,Dead Stock
311,54,42.99,2321.46,61.0,0.8852459016393442,Normal
313,11,21.99,241.89,13.0,0.8461538461538461,Normal
315,1,15.99,15.99,0.0,inf,Dead Stock
319,0,32.99,0.0,2.0,0.0,Fast Moving
323,16,14.99,239.84,21.0,0.7619047619047619,Normal
327,26,23.99,623.74,0.0,inf,Dead Stock
332,20,19.99,399.79999999999995,0.0,inf,Dead Stock
344,207,19.99,4137.929999999999,57.0,3.6315789473684212,Slow Moving
350,32,22.99,735.68,27.0,1.1851851851851851,Normal
354,3,19.49,58.47,3.0,1.0,Normal
356,39,11.99,467.61,52.0,0.75,Normal
361,784,19.99,15672.159999999998,202.0,3.881188118811881,Slow Moving
364,171,7.99,1366.29,5.0,34.2,Slow Moving
365,154,8.99,1384.46,0.0,inf,Dead Stock
368,9,1559.99,14039.91,0.0,inf,Dead Stock
369,14,12.99,181.86,3.0,4.666666666666667,Slow Moving
370,22,13.99,307.78000000000003,21.0,1.0476190476190477,Normal
371,16,9.99,159.84,0.0,inf,Dead Stock
373,8,19.99,159.92,0.0,inf,Dead Stock
376,547,28.99,15857.529999999999,155.0,3.529032258064516,Slow Moving
