VendorName,Total_Quantity,Total_Spent,Num_Orders,Avg_LeadTime,Std_LeadTime,Min_LeadTime,Max_LeadTime,Avg_Cost_Per_Unit,LeadTime_CV,DeliveryScore
HAUNTING WHISPER VYDS      ,669,5388.58,58,7.9655172413793105,2.0430929188698483,3.0,12.0,8.054678624813153,0.25649218462002427,38.1
VINEDREA WINES LLC         ,205,4657.6,33,8.818181818181818,2.007089706741851,5.0,12.0,22.720000000000002,0.22760811107381815,38.3
UNCORKED       ,243,2966.31,16,8.3125,2.1823152842795195,6.0,12.0,12.207037037037036,0.2625341695373858,36.0
STAR INDUSTRIES INC.       ,151,2452.29,17,8.235294117647058,2.1945788822888623,4.0,13.0,16.240331125827815,0.2664845785636476,35.8
APPOLO VINEYARDS LLC       ,230,2399.7,18,7.444444444444445,2.148110584901839,5.0,12.0,10.433478260869565,0.28855216812114254,36.2
LOYAL DOG WINERY           ,240,2320.8,20,5.95,2.438183102661747,4.0,12.0,9.67,0.40977867271626,27.1
BRONCO WINE COMPANY        ,433,2071.9,49,7.836734693877551,1.818274580193979,4.0,12.0,4.784988452655889,0.23201941257683587,41.5
MILTONS DISTRIBUTING CO    ,267,1824.18,23,7.956521739130435,1.460954260673022,5.0,11.0,6.8321348314606745,0.1836172021610902,47.0
AMERICAN SPIRITS EXCHANGE  ,132,1205.16,8,8.25,1.752549163769328,5.0,11.0,9.13,0.21243020166900944,42.3
BLACK ROCK SPIRITS LLC     ,82,1152.1,19,8.052631578947368,2.013114894621608,5.0,12.0,14.049999999999999,0.24999466011640886,38.5
TRUETT HURST               ,24,236.64,1,5.0,,5.0,5.0,9.86,0.0,80.8
LAUREATE IMPORTS CO        ,29,140.94,1,10.0,,10.0,10.0,4.86,0.0,61.5
FANTASY FINE WINES CORP    ,24,128.64,2,7.5,2.1213203435596424,6.0,9.0,5.359999999999999,0.282842712474619,36.6
AAPER ALCOHOL & CHEMICAL CO,1,105.07,1,10.0,,10.0,10.0,105.07,0.0,61.5
SILVER MOUNTAIN CIDERS     ,17,77.17999999999999,2,8.5,0.7071067811865476,8.0,9.0,4.539999999999999,0.0831890330807703,57.2
CAPSTONE INTERNATIONAL     ,4,54.64,1,8.0,,8.0,8.0,13.66,0.0,69.2
FLAVOR ESSENCE INC         ,1,17.0,1,13.0,,13.0,13.0,17.0,0.0,50.0
