Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
7340,5697.0,300,241,0.01719103015716504,77.50430822922155,B
3663,5693.93,407,299,0.017181766252902714,77.52148999547445,B
1273,5690.179999999999,182,150,0.017170450408934064,77.5386604458834,B
3305,5685.35,465,294,0.017155875601902452,77.5558163214853,B
4416,5684.31,569,432,0.01715273734117515,77.57296905882647,B
3104,5683.42,458,360,0.01715005171420659,77.59011911054068,B
22801,5676.63,437,266,0.017129562492727363,77.60724867303341,B
892,5663.37,163,148,0.017089549668454235,77.62433822270187,B
3693,5656.96,504,384,0.017070207119163835,77.64140842982103,B
3335,5648.86,514,269,0.01704576489619156,77.65845419471722,B
32084,5637.21,179,78,0.01701061034092897,77.67546480505816,B
17875,5632.95,705,317,0.016997755542180592,77.69246256060033,B
8725,5630.83,317,264,0.016991358318390316,77.70945391891873,B
2630,5622.52,148,125,0.0169662824081558,77.72642020132689,B
8092,5621.95,2455,642,0.016964562399872565,77.74338476372677,B
4732,5619.4,60,51,0.016956867625973888,77.76034163135274,B
5285,5613.389999999999,671,509,0.016938732100040137,77.77728036345279,B
6828,5611.41,559,285,0.016932757334424696,77.79421312078722,B
463,5608.35,165,128,0.016923523605746282,77.81113664439296,B
25994,5606.879999999999,312,161,0.01691908779491057,77.82805573218786,B
8223,5598.639999999999,336,179,0.01689422311376347,77.84494995530163,B
2083,5598.6,140,113,0.016894102411427806,77.86184405771306,B
6529,5598.400000000001,160,108,0.01689349889974948,77.8787375566128,B
6581,5597.48,352,223,0.01689072274602917,77.89562827935883,B
5218,5596.0,400,308,0.016886256759609544,77.91251453611844,B
26966,5594.4,560,322,0.01688142866618292,77.92939596478462,B
15548,5591.78,622,293,0.01687352266319683,77.94626948744782,B
4787,5585.53,247,205,0.016854662923249088,77.96312415037107,B
2280,5585.490000000001,151,130,0.016854542220913427,77.97997869259198,B
3617,5585.46,254,217,0.016854451694161672,77.99683314428614,B
2759,5582.01,399,349,0.01684404111771052,78.01367718540385,B
38441,5575.3,470,287,0.016823793300902626,78.03050097870475,B
8120,5573.8,620,404,0.01681926696331517,78.04732024566806,B
3437,5572.91,309,259,0.016816581336346607,78.0641368270044,B
23279,5572.7699999999995,223,109,0.016816158878171776,78.08095298588258,B
810,5557.83,417,295,0.0167710765558007,78.09772406243837,B
63,5552.6900000000005,131,107,0.016755566305667678,78.11447962874404,B
28260,5550.16,584,226,0.016747931882936832,78.13122756062697,B
13154,5545.42,458,247,0.016733628656160467,78.14796118928312,B
43225,5545.35,165,116,0.01673341742707305,78.1646946067102,B
6567,5542.41,459,232,0.01672454580540163,78.1814191525156,B
5410,5541.22,578,412,0.016720954910915582,78.19814010742651,B
8050,5540.919999999999,308,248,0.01672004964339809,78.21486015706991,B
6572,5540.919999999999,308,178,0.01672004964339809,78.2315802067133,B
12495,5539.37,663,379,0.01671537242789105,78.2482955791412,B
2532,5534.59,41,28,0.01670094849877902,78.26499652763998,B
23047,5531.76,24,1,0.016692408808530682,78.2816889364485,B
8970,5527.2,480,254,0.01667864874226481,78.29836758519077,B
6293,5514.4800000000005,552,318,0.01664026539952317,78.31500785059029,B
5316,5514.32,2408,1022,0.016639782590180504,78.33164763318047,B
2142,5501.31,369,290,0.016600524155505288,78.34824815733597,B
41990,5499.0,100,55,0.016593553595620602,78.3648417109316,B
26943,5498.9,110,46,0.01659325183978144,78.38143496277138,B
3174,5498.38,162,119,0.01659168270941779,78.3980266454808,B
4064,5494.77,423,330,0.01658078932362397,78.41460743480442,B
2606,5491.51,49,41,0.01657095208326723,78.4311783868877,B
