Brand,AvgDailyDemand,StdDailyDemand,TotalDemand,AvgLeadTime,StdLeadTime,SafetyStock,ReorderPoint
8447,1.5789473684210527,1.4265650070355174,30,8.314285714285715,2.1931903778772703,9,22
5056,1.875,2.0289570391377603,30,5.902439024390244,2.531820972049106,11,22
284,1.5789473684210527,1.6437014284732228,30,7.838095238095238,1.9715466864866116,9,22
5145,2.5,3.9886201760873283,30,8.5,2.8867513459481287,23,44
8909,7.5,3.0,30,8.18867924528302,1.9320834089096761,28,89
46141,2.3076923076923075,2.8102376941169758,30,7.15,1.7252002172135512,14,31
25339,1.7647058823529411,1.0325582165612919,30,9.666666666666666,1.5275252316519465,7,24
35960,1.6666666666666667,1.137592917989042,30,7.05,2.283124663229781,8,20
7780,3.75,4.2342143815082665,30,6.5,0.7071067811865476,18,43
20519,2.3076923076923075,2.839736354681991,30,8.75,2.217355782608345,16,36
24022,1.7647058823529411,1.521898968587677,30,8.564102564102564,2.062125523195498,9,25
20429,6.0,10.074720839804943,30,8.411764705882353,1.583462327046801,51,101
39470,1.875,1.6278820596099708,30,8.627906976744185,2.430199441295709,11,27
1505,2.727272727272727,3.319364670864263,30,9.333333333333334,2.0,19,44
24775,2.727272727272727,2.195035721390843,30,7.4375,2.3953920818535015,15,35
17119,1.6666666666666667,1.0289915108550531,30,7.521367521367521,1.9190438109241772,7,20
1972,2.0,1.6035674514745464,30,8.333333333333334,2.886751345948129,12,29
1798,2.0,1.5583874449479589,30,7.341176470588235,2.228350560052748,10,25
20425,3.0,2.6666666666666665,30,10.0,1.8708286933869707,17,47
24153,1.5789473684210527,1.6095475373078614,30,7.607843137254902,1.8555692535990032,9,21
29039,2.727272727272727,3.8233730942953787,30,8.439024390243903,2.3774858620799924,21,44
10591,2.142857142857143,1.3506205330054124,30,10.0,1.85864075456917,10,31
6426,1.6666666666666667,0.6859943405700353,30,7.865168539325842,1.925846987431499,6,19
10724,6.0,5.477225575051661,30,7.5,2.2200386097028644,33,78
3070,1.6666666666666667,1.0289915108550531,30,9.0,2.138089935299395,8,23
10621,2.0,1.7728105208558367,30,8.428571428571429,2.033335629332404,11,28
44106,3.0,3.39934634239519,30,7.809523809523809,1.990799261156548,19,42
8079,2.727272727272727,3.4085454109021076,30,8.833333333333334,1.4719601443879742,18,42
44033,3.0,3.0550504633038935,30,7.0,2.2088896522065657,17,38
